Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],298.15,25C,
Heat transfer coefficient [W.m-2.K-1],10,,
,,,
# Electrical			
Number of electrodes connected in parallel to make a cell,1,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],3.45,,just below 3.5
Upper voltage cut-off [V],4.25,,just above 4.25
C-rate,1,,
,,,
# Initial conditions
Initial concentration in negative electrode [mol.m-3],,,
Initial concentration in positive electrode [mol.m-3],,,
Initial concentration in electrolyte [mol.m-3],1000,,
Initial temperature [K],298.15,,
